Genus,Species,Classification
Aliatypus,Arachnid,Arachnid
Exbucklandia,FloweringPlant,Plant
Genista,FloweringPlant,Plant
Aspergillaceae,Fungus,Fungus
Melicharidae,Arachnid,Arachnid
Mischocyttarus,Wasp,Insect
Poa,FloweringPlant,Plant
Rophites,Bee,Insect
Chironomidae,Fly,Insect
Luculia,FloweringPlant,Plant
Bidens,FloweringPlant,Plant
Viburnum,FloweringPlant,Plant
Dasynotus,FloweringPlant,Plant
Kirengeshoma,FloweringPlant,Plant
Kiggelaria,FloweringPlant,Plant
Anisoptera,FloweringPlant,Plant
Fumana,FloweringPlant,Plant
Hillia,FloweringPlant,Plant
Cupaniopsis,FloweringPlant,Plant
Pectocarya,FloweringPlant,Plant
Knautia,FloweringPlant,Plant
Daphniphyllum,FloweringPlant,Plant
Silphium,FloweringPlant,Plant
Ellisia,FloweringPlant,Plant
Ackama,FloweringPlant,Plant
Braya,FloweringPlant,Plant
Berberidopsis,FloweringPlant,Plant
Sisymbriopsis,FloweringPlant,Plant
Barnadesia,FloweringPlant,Plant
Monarda,FloweringPlant,Plant
Parthenium,FloweringPlant,Plant
Berteroa,FloweringPlant,Plant
Gaillardia,FloweringPlant,Plant
Convolvulus,FloweringPlant,Plant
Empetrum,FloweringPlant,Plant
Thelesperma,FloweringPlant,Plant
Pilosella,FloweringPlant,Plant
Chrysolepis,FloweringPlant,Plant
Caprifoliaceae,FloweringPlant,Plant
Cistus,FloweringPlant,Plant
Barbarea,FloweringPlant,Plant
Nestegis,FloweringPlant,Plant
Agoseris,FloweringPlant,Plant
Chrysobalanus,FloweringPlant,Plant
Ochroma,FloweringPlant,Plant
Pelliaceae,Liverwort,Plant
Frangula,FloweringPlant,Plant
Pourthiaea,FloweringPlant,Plant
Littorella,FloweringPlant,Plant
Trigonotis,FloweringPlant,Plant
Sambucus,FloweringPlant,Plant
Spathiphyllum,FloweringPlant,Plant
Clematis,FloweringPlant,Plant
Tragia,FloweringPlant,Plant
Eremophila,FloweringPlant,Plant
Erica,FloweringPlant,Plant
Steenisia,FloweringPlant,Plant
Heliotropium,FloweringPlant,Plant
Achillea,FloweringPlant,Plant
Torilis,FloweringPlant,Plant
Cipadessa,FloweringPlant,Plant
Eremocarya,FloweringPlant,Plant
Pseudognaphalium,FloweringPlant,Plant
Couepia,FloweringPlant,Plant
Alseuosmia,FloweringPlant,Plant
Myriophyllum,FloweringPlant,Plant
Spryginia,FloweringPlant,Plant
Reseda,FloweringPlant,Plant
Petroselinum,FloweringPlant,Plant
Noronhia,FloweringPlant,Plant
Petalonyx,FloweringPlant,Plant
Zelkova,FloweringPlant,Plant
Goodenia,FloweringPlant,Plant
Schizocolea,FloweringPlant,Plant
Lygodesmia,FloweringPlant,Plant
Fouquieria,FloweringPlant,Plant
Erysimum,FloweringPlant,Plant
Carduus,FloweringPlant,Plant
Hesperomeles,FloweringPlant,Plant
Liquidambar,FloweringPlant,Plant
Polygala,FloweringPlant,Plant
Anzhengxia,FloweringPlant,Plant
Gymnosiphon,FloweringPlant,Plant
Dipsacus,FloweringPlant,Plant
Zygia,FloweringPlant,Plant
Solidago,FloweringPlant,Plant
Tragopogon,FloweringPlant,Plant
Piofontia,FloweringPlant,Plant
Neolarra,Bee,Insect
Mantispidae,Mantis,Insect
Apidae,Bee,Insect
Stenistomera,Insect,Insect
Cyclophora,Lepidoptera,Insect
Rubzovinema,Nematode,Nematode
Maoriata,Arachnid,Arachnid
Basiria,Nematode,Nematode
Cephalenchus,Nematode,Nematode
Prothallonema,Nematode,Nematode
Sapindus,FloweringPlant,Plant
Litylenchus,Nematode,Nematode
Sarcocystis,ProtozoaParasite,Unicellular
Acrobeles,Nematode,Nematode
Ficaria,FloweringPlant,Plant
Oreosolen,FloweringPlant,Plant
Stictylus,Nematode,Nematode
Vahlia,FloweringPlant,Plant
Leucophyllum,FloweringPlant,Plant
Bothriospermum,FloweringPlant,Plant
Melissa,FloweringPlant,Plant
Coslenchus,Nematode,Nematode
Trachymene,FloweringPlant,Plant
Trigonopterus,Beetle,Insect
Cervidellus,Nematode,Nematode
Glomeraceae,Fungus,Fungus
Cynanchum,FloweringPlant,Plant
Protosmia,Bee,Insect
Idaea,Lepidoptera,Insect
Guilandina,FloweringPlant,Plant
Chrysactinium,FloweringPlant,Plant
Polyscias,FloweringPlant,Plant
Peraphyllum,FloweringPlant,Plant
Propalticus,Beetle,Insect
Dichapetalum,FloweringPlant,Plant
Megandrena,Bee,Insect
Odontarrhena,FloweringPlant,Plant
Sabulina,FloweringPlant,Plant
Termes,Termite,Insect
Microgaster,ParasitoidWasp,Insect
Anterhynchium,Wasp,Insect
Taeniogonalos,Hymenopteran,Insect
Helorus,ParaistoidWasp,Insect
Penapis,Bee,Insect
Scirtidae,Beetle,Insect
Aoplonema,Insect,Insect
Hydatophylax,Insect,Insect
Isoteinon,Lepidoptera,Insect
Mansonia,Mosquito,Insect
Choristoneura,Lepidoptera,Insect
Corixidea,Insect,Insect
Corydalus,Insect,Insect
Eterusia,Lepidoptera,Insect
Neochauliodes,Insect,Insect
Ozola,Lepidoptera,Insect
Astictopterus,Lepidoptera,Insect
Kirinia,Lepidoptera,Insect
Pseudapis,Bee,Insect
Tetracera,FloweringPlant,Plant
Ceratophyllus,Insect,Insect
Calophoma,Fungus,Fungus
Protopelagonemertidae,RibbonWorm,Nemertea
Priceomyces,Fungus,Fungus
Dorcadia,Insect,Insect
Neogerris,Insect,Insect
Metrobates,Insect,Insect
Paravaejovis,Scorpion,Arachnid
Gasteruption,Hymenopteran,Insect
Neochalcosia,Lepidoptera,Insect
Esakia,Insect,Insect
Scolebythus,Hymenopteran,Insect
Potamometroides,Insect,Insect
Pycnocoris,Insect,Insect
Potamometropsis,Insect,Insect
Diodontus,Wasp,Insect
Corynoptera,Fly,Insect
Songthela,Spider,Arachnid
Xyela,Hymenopteran,Insect
Couroupita,FloweringPlant,Plant
Gustavia,FloweringPlant,Plant
Sphinctomyrmex,Ant,Insect
Ocellovelia,Insect,Insect
Wroughtonia,Hymenopteran,Insect
Psychopsis,Insect,Insect
Cerataphis,Insect,Insect
Pantolytomyia,Hymenopteran,Insect
Alocandrena,Bee,Insect
Boeremia,Fungus,Fungus
Pamphilius,Hymenopteran,Insect
Ideopsis,Lepidoptera,Insect
Apoica,Wasp,Insect
Protohermes,Insect,Insect
Celastrina,Lepidoptera,Insect
Metapolybia,Wasp,Insect
Megathymus,Insect,Insect
Agathymus,Lepidoptera,Insect
Winthemia,Fly,Insect
Lamprocoris,Insect,Insect
Festuca,FloweringPlant,Plant
Cetonia,Beetle,Insect
Odontoponera,Ant,Insect
Halovelia,Insect,Insect
Acanthacorydalis,Insect,Insect
Rheumatometra,Insect,Insect
Chloronia,Insect,Insect
Cryptostemma,Insect,Insect
Acrostichus,Nematode,Nematode
Limnogonus,Insect,Insect
Pithomyces,Fungus,Fungus
Cerceris,Wasp,Insect
Melaleuca,FloweringPlant,Plant
Amesia,Lepidoptera,Insect
Metrosideros,FloweringPlant,Plant
Brooksetta,Insect,Insect
Gymnosoma,Fly,Insect
Pegoplata,Fly,Insect
Azelia,Fly,Insect
Uroeuantha,Fly,Insect
Spilogona,Fly,Insect
Nemorilla,Fly,Insect
Subclytia,Fly,Insect
Blondelia,Fly,Insect
Chelonanthus,FloweringPlant,Plant
Aplomya,Fly,Insect
Siphona,Fly,Insect
Physarum,SlimeMould,Unicellular
Washingtonia,FloweringPlant,Plant
Icaridion,Fly,Insect
Ornithomya,Fly,Insect
Parapygmephorus,Mite,Arachnid
Myrmecopterina,Hymenopteran,Insect
Thrincohalictus,Bee,Insect
Merodon,Fly,Insect
Auaxa,Lepidoptera,Insect
Xanthocampoplex,ParasitoidWasp,Insect
Parazodion,Fly,Insect
Saropogon,Fly,Insect
Ovanoetus,Mite,Arachnid
Carabus,Beetle,Insect
Sitaris,Beetle,Insect
Symmetrospora,Fungus,Fungus
Tachornithoglyphus,Mite,Arachnid
Lythrum,FloweringPlant,Plant
Paludistella,Algae,Algae
Trypanosomatidae,Trypanosomes,Trypanosome
Holomastigotoides,Parabasalid,Unicellular
Trentepohlia,GreenAlgae,Algae
Huntiella,Fungus,Fungus
Macrotrachela,Rotifer,Aquatic
Eriosoma,Insect,Insect
Phlyctema,Fungus,Fungus
Chamberlinius,Myriapod,Myriapod
Xylosandrus,Beetle,Insect
Sudhausia,Nematode,Nematode
Boechera,FloweringPlant,Plant
Nowakowskiella,Fungus,Fungus
Dalcerides,Lepidoptera,Insect
Clitocybe,Fungus,Fungus
Davidsoniella,Fungus,Fungus
Drymusa,Spider,Arachnid
Ambrosiella,Fungus,Fungus
Auricularia,Fungus,Fungus
Amanita,Fungus,Fungus
Neillia,FloweringPlant,Plant
Heortia,Lepidoptera,Insect
Handeliodendron,FloweringPlant,Plant
Yavnella,Ant,Insect
Polyspora,FloweringPlant,Plant
Exidia,Fungus,Fungus
Desmodium,FloweringPlant,Plant
Euaspis,Bee,Insect
Knufia,Fungus,Fungus
Amyloporia,Fungus,Fungus
Cerrena,Fungus,Fungus
Rigidoporus,Fungus,Fungus
Waitea,Fungus,Fungus
Laetisaria,Fungus,Fungus
Phyllactinia,Fungus,Fungus
Plectania,Fungus,Fungus
Pleosporaceae,Fungus,Fungus
Microascospora,Fungus,Fungus
Helotiaceae,Fungus,Fungus
Malasseziaceae,Fungus,Fungus
Acrodontium,Fungus,Fungus
Phyllosticta,Fungus,Fungus
Dothideaceae,Fungus,Fungus
Holtermannia,Fungus,Fungus
Rhodosporidiobolus,Fungus,Fungus
Curvibasidium,Fungus,Fungus
Rhamphoria,Fungus,Fungus
Cetraria,Fungus,Fungus
Thyridium,Fungus,Fungus
Catenomyces,Fungus,Fungus
Phaeosphaeriaceae,Fungus,Fungus
Arthrinium,Fungus,Fungus
Graphium,Fungus,Fungus
Heterophoma,Fungus,Fungus
Microascus,Fungus,Fungus
Tellaceae,Fungus,Fungus
Stenella,Fungus,Fungus
Bacidina,Fungus,Fungus
Ophiostoma,Fungus,Fungus
Fissurina,Fungus,Fungus
Phialophoropsis,Fungus,Fungus
Berkeleyomyces,Fungus,Fungus
Wallacemonas,Trypanosome,Trypanosome
Ostrya,FloweringPlant,Plant
Pterocarpus,FloweringPlant,Plant
Dalbergia,FloweringPlant,Plant
Lophophytum,FloweringPlant,Plant
Tutcheria,FloweringPlant,Plant
Schrebera,FloweringPlant,Plant
Pueraria,FloweringPlant,Plant
Toxicodendron,FloweringPlant,Plant
Fibraurea,FloweringPlant,Plant
Codiaeum,FloweringPlant,Plant
Ammochloa,FloweringPlant,Plant
Mirabilis,FloweringPlant,Plant
Sophora,FloweringPlant,Plant
Lespedeza,FloweringPlant,Plant
Chamaecrista,FloweringPlant,Plant
Pavetta,FloweringPlant,Plant
ParaprenanthesElaeocarpus,FloweringPlant,Plant
Eritrichium,FloweringPlant,Plant
Styphnolobium,FloweringPlant,Plant
Isertia,FloweringPlant,Plant
Nepenthes,FloweringPlant,Plant
Peganum,FloweringPlant,Plant
Xanthorhiza,FloweringPlant,Plant
Apocynum,FloweringPlant,Plant
Hydrastis,FloweringPlant,Plant
Rapistrum,FloweringPlant,Plant
Sibiraea,FloweringPlant,Plant
Myrtus,FloweringPlant,Plant
Marshallia,FloweringPlant,Plant
Marianthus,FloweringPlant,Plant
SymphoricarposCristaria,FloweringPlant,Plant
Spiraea,FloweringPlant,Plant
Angophora,FloweringPlant,Plant
Ixora,FloweringPlant,Plant
Guzmania,FloweringPlant,Plant
Oxalis,FloweringPlant,Plant
PseudoziziphusLicania,FloweringPlant,Plant
Dilophia,FloweringPlant,Plant
Phedimus,FloweringPlant,Plant
Aesculus,FloweringPlant,Plant
Pourouma,FloweringPlant,Plant
Aronia,FloweringPlant,Plant
Sabicea,FloweringPlant,Plant
Sparganium,FloweringPlant,Plant
Calystegia,FloweringPlant,Plant
Cocculus,FloweringPlant,Plant
Myoporum,FloweringPlant,Plant
Ypsilandra,FloweringPlant,Plant
Ekebergia,FloweringPlant,Plant
Sauvagesia,FloweringPlant,Plant
Peucedanum,FloweringPlant,Plant
Rhaponticum,FloweringPlant,Plant
Echinacea,FloweringPlant,Plant
Delarbrea,FloweringPlant,Plant
Peperomia,FloweringPlant,Plant
Chaerophyllum,FloweringPlant,Plant
Impatiens,FloweringPlant,Plant
Sphaeralcea,FloweringPlant,Plant
Malacomeles,FloweringPlant,Plant
Carpenteria,FloweringPlant,Plant
ArchibaccharisTorminalis,FloweringPlant,Plant
Lepidoceras,FloweringPlant,Plant
Terminalia,FloweringPlant,Plant
Coriaria,FloweringPlant,Plant
Caltha,FloweringPlant,Plant
Cymatocarpus,FloweringPlant,Plant
Dalea,FloweringPlant,Plant
Fallopia,FloweringPlant,Plant
Clusia,FloweringPlant,Plant
Leontodon,FloweringPlant,Plant
Stylophorum,FloweringPlant,Plant
Eryngium,FloweringPlant,Plant
Paragenipa,FloweringPlant,Plant
Hillebrandia,FloweringPlant,Plant
Physocarpus,FloweringPlant,Plant
Malaxis,FloweringPlant,Plant
Crossostylis,FloweringPlant,Plant
Leptolobium,FloweringPlant,Plant
Mimulopsis,FloweringPlant,Plant
Tovomita,FloweringPlant,Plant
Sladenia,FloweringPlant,Plant
Fagraea,FloweringPlant,Plant
Valeriana,FloweringPlant,Plant
Phyllanthus,FloweringPlant,Plant
Ficus,FloweringPlant,Plant
Leucoptera,FloweringPlant,Plant
Heritiera,FloweringPlant,Plant
Heteropyxis,FloweringPlant,Plant
Toona,FloweringPlant,Plant
Hieracium,FloweringPlant,Plant
Pristomyrmex,Insect,Insect
Onega,Insect,Insect
Dorcus,Insect,Insect
Mechanitis,Insect,Insect
Phloeotribus,Insect,Insect
Apisa,Insect,Insect
Chymomyza,Insect,Insect
Sternolophus,Insect,Insect
Scelio,Insect,Insect
Paraptica,Insect,Insect
Prociphilus,Insect,Insect
Nannotrigona,Insect,Insect
Rhagovelia,Insect,Insect
Diestostemma,Insect,Insect
Calospasta,Insect,Insect
Iselma,Insect,Insect
Lanthanomelissa,Insect,Insect
Heteromyza,Insect,Insect
Platycheirus,Insect,Insect
Acanthormius,Insect,Insect
Cardiocondyla,Insect,Insect
Ceraphron,Insect,Insect
Eristalinus,Insect,Insect
Toxopoda,Insect,Insect
Lysiphlebia,Insect,Insect
Spelobia,Insect,Insect
Asterocampa,Insect,Insect
Chilocorus,Insect,Insect
Brenthia,Insect,Insect
Ranatra,Insect,Insect
Aiolopus,Insect,Insect
Cryptocercus,Insect,Insect
Boreus,Insect,Insect
Stenopelmatus,Insect,Insect
Clusia,Insect,Insect
Tolania,Insect,Insect
Melitoma,Insect,Insect
Stenepteryx,Insect,Insect
Eulophidae,Insect,Insect
Graphium,Insect,Insect
Diglyphus,Insect,Insect
Palaeorhiza,Insect,Insect
Meganomia,Insect,Insect
Scenocharops,Insect,Insect
Brontispa,Insect,Insect
Orius,Insect,Insect
Aenictus,Insect,Insect
Limnometra,Insect,Insect
Neocorynura,Insect,Insect
Polymerus,Insect,Insect
Leucoptera,Insect,Insect
Ochthebius,Insect,Insect
Ptiliidae,Insect,Insect
Dalsira,Insect,Insect
Alatidotasia,Insect,Insect
Nymphes,Insect,Insect
Pristaulacus,Insect,Insect
Microvelia,Insect,Insect
Nebria,Insect,Insect
Phyto,Insect,Insect
Phaonia,Insect,Insect
Syneches,Insect,Insect
Mesembrinella,Insect,Insect
Toxomerus,Insect,Insect
Protophormia,Insect,Insect
Conicera,Insect,Insect
Emphysomera,Insect,Insect
Campsicnemus,Insect,Insect
Pseudoanthidium,Insect,Insect
Ancylandrena,Insect,Insect
Xylobiops,Insect,Insect
Colaphellus,Insect,Insect
Tachydromia,Insect,Insect
Orthonama,Insect,Insect
Wyeomyia,Insect,Insect
Anthodiplosis,Insect,Insect
Diplogasteroides,Nematode,Nematode
Tergilatus,Mite,Arachnid
Analloptes,Mite,Arachnid
Rhabditophanes,Nematode,Nematode
Phyllocoptruta,Mite,Arachnid
Acarapis,Mite,Arachnid
Lithodes,Crab,Aquatic
Stenoniscidae,Crab,Aquatic
Lycosa,Spider,Arachnid
Echinacea,FloweringPlant,Plant
Tylenchus,Nematode,Nematode
Pratylenchoides,Nematode,Nematode
Subanguina,Nematode,Nematode
Gordius,HorsehairWorm,Nematomorpha
Porocephalus,Crustacean,Aquatic
Calanus,Crustacean,Aquatic
Sphaerulariidae,Nematode,Nematode
Simognathus,Mite,Arachnid
Sladenia,Fish,Aquatic
Phyllanthus,Bird,Bird
Australomisidia,Spider,Arachnid
Stenella,Fungus,Fungus
Proctophyllodes,Mite,Arachnid
Archidispus,Mite,Arachnid
Siro,Arachnid,Arachnid
Pergamasus,Mite,Arachnid
Allodectes,Mite,Arachnid
Plectreurys,Spider,Arachnid
Symbiochloris,GreenAlgae,Algae
Colpodella,Alveolate,Unicellular
Vaucheria,YellowGreenAlgae,Algae
Dinobryaceae,Algae,Algae
Protostelium,SlimeMould,Unicellular
Isospora,Parasite,Unicellular
Anteholosticha,Protist,Unicellular
Apodachlya,WaterMould,Aquatic
Globobulimina,Protist,Unicellular
Haemocystidium,Alveolate,Unicellular
Novocrania,Brachiopod,Brachiopod
Apopellia,LiverWort,Plant
Mattesia,ParasisteAlveolateofInsects,Unicellular
Alexandrium,Alveolate,Unicellular
Isodiametra,Worms,Acoela
Synura,Algae,Algae
Protopelagonemertes,Worm,Nemertea
Laternula,Bivalve,Aquatic
Hypocoma,Alveolate,Unicellular
Spyridia,RedAlgae,Algae
Strobilidium,Alveolate,Unicellular
Phycopeltis,GreenAlgae,Algae
Ambrosiozyma,Fungus,Fungus
Floccularia,Fungus,Fungus
Termitomyces,Fungus,Fungus
Poteriospumella,Algae,Algae
Paraprenanthes,Plant,Plant
Elaeocarpus,Plant,Plant
Symphoricarpos,Plant,Plant
Cristaria,Plant,Plant
Pseudoziziphus,Plant,Plant
Licania,FloweringPlant,Plant
Archibaccharis,FloweringPlant,Plant
Torminalis,FloweringPlant,Plant
Tremellaceae,Fungus,Fungus
